DATE,PLOT_ID,LAT,LONG,DNBR,CBI,PLOT_CODE
9/27/2006,NPB3,48.85406,-115.15807,138,0.78,TB
9/28/2006,NPB14,48.85440,-115.15865,84,0.93,TB
9/27/2006,NPB3a,48.85409,-115.15801,138,0.97,TB
9/28/2006,NPB11,48.85275,-115.15614,-1,1.10,TB
9/27/2006,NPB2,48.85362,-115.15644,86,1.11,TB
9/27/2006,NPB4,48.85509,-115.15530,-34,1.13,TB
9/28/2006,NPB10,48.85223,-115.15529,-13,1.15,TB
9/28/2006,NPB12,48.85359,-115.15696,125,1.25,TB
9/27/2006,NPB5,48.85454,-115.15436,76,1.28,TB
9/27/2006,NPB7,48.85464,-115.15344,53,1.31,TB
9/28/2006,NPB13,48.85432,-115.15722,44,1.33,TB
9/26/2006,NPB1,48.85241,-115.15575,84,1.46,TB
9/27/2006,UB9,48.84916,-115.16246,277,1.49,U
9/27/2006,NPB6,48.85553,-115.15355,68,1.54,TB
9/27/2006,UB2,48.84718,-115.17432,242,1.60,U
9/27/2006,NPB8,48.85575,-115.15165,245,1.86,TB
9/27/2006,NPB9,48.85481,-115.15253,104,1.97,TB
9/28/2006,UB10,48.85113,-115.15631,227,2.04,U
9/27/2006,UB4,48.84824,-115.17339,534,2.21,U
9/28/2006,TB6,48.84731,-115.18865,658,2.23,T
9/28/2006,UB13,48.85174,-115.16503,370,2.25,U
9/28/2006,TB8,48.84651,-115.19026,682,2.26,T
9/28/2006,TB4,48.84786,-115.18668,639,2.29,T
9/28/2006,UB12,48.85191,-115.16166,399,2.29,U
9/28/2006,TB2,48.84864,-115.18417,617,2.32,T
9/27/2006,UB3,48.84988,-115.17177,553,2.38,U
9/27/2006,UB5,48.85008,-115.16870,525,2.45,U
9/28/2006,UB11,48.85129,-115.15860,319,2.59,U
9/28/2006,NIB5,48.84391,-115.18548,540,2.60,T
9/28/2006,NIB7,48.84520,-115.18683,524,2.60,T
9/28/2006,NIB9,48.84661,-115.18765,684,2.60,T
9/27/2006,UB6,48.84840,-115.17135,585,2.62,U
9/26/2006,UTB1,48.85120,-115.15825,434,2.62,U
9/28/2006,NIB3,48.84465,-115.18574,587,2.64,T
9/28/2006,NIB1,48.84610,-115.18530,631,2.66,T
9/27/2006,UB7,48.84939,-115.16600,771,2.70,U
