stnm,stid,name,city,rang,cdir,cnty,lat,lon,elev,cdiv,clas
110,ACME,Acme,Rush Springs,4,WNW,Grady,34.80833,-98.02325,397,Central,STANDARD
1,ADAX,Ada,Ada,2,NNE,Pontotoc,34.79851,-96.66909,295,South Central,STANDARD
2,ALTU,Altus,Altus,3,S,Jackson,34.58722,-99.33808,416,Southwest,STANDARD
116,ALV2,Alva,Alva,7.2,SSW,Woods,36.70823,-98.70974,439,North Central,STANDARD
3,ALVA,Alva,Alva,2,S,Woods,36.7797,-98.6717,450,North Central,STANDARD
135,ANT2,Antlers,Antlers,3,WNW,Pushmataha,34.24967,-95.66844,172,Southeast,STANDARD
4,ANTL,Antlers,Antlers,5,W,Pushmataha,34.22438,-95.70059,179,Southeast,STANDARD
111,APAC,Apache,Apache,4,ENE,Caddo,34.91418,-98.29216,440,Southwest,STANDARD
126,ARD2,Ardmore,Ardmore,3.5,ENE,Carter,34.19258,-97.08568,266,South Central,STANDARD
5,ARDM,Ardmore,Ardmore,3,ENE,Carter,34.1922,-97.085,266,South Central,ENHANCED
6,ARNE,Arnett,Arnett,8,WSW,Ellis,36.07204,-99.90308,719,Panhandle,STANDARD
7,BBOW,Broken Bow,Broken Bow,7,E,McCurtain,34.0144,-94.6131,113,Southeast,STANDARD
8,BEAV,Beaver,Beaver,1,SSW,Beaver,36.80253,-100.53012,758,Panhandle,CONTINUITY
119,BEEX,Bee,Tishomingo,3.8,SE,Johnston,34.19121,-96.64386,196,South Central,STANDARD
9,BESS,Bessie,Bessie,4,WNW,Washita,35.40185,-99.05847,511,West Central,STANDARD
10,BIXB,Bixby,Bixby,2,NE,Tulsa,35.96305,-95.86621,184,Northeast,STANDARD
11,BLAC,Blackwell,Blackwell,4,SSE,Kay,36.75443,-97.25452,304,North Central,STANDARD
12,BOIS,Boise City,Boise City,3,SSE,Cimarron,36.69256,-102.49713,1267,Panhandle,STANDARD
13,BOWL,Bowlegs,Bowlegs,3,NE,Seminole,35.17156,-96.63121,281,Central,STANDARD
14,BREC,Breckinridge,Breckinridge,3,SE,Garfield,36.41201,-97.69394,352,North Central,STANDARD
15,BRIS,Bristow,Bristow,4,SE,Creek,35.7805,-96.35404,239,Central,STANDARD
124,BROK,Broken Bow,Broken Bow,6.5,E,McCurtain,34.0433,-94.6244,113,Southeast,STANDARD
16,BUFF,Buffalo,Buffalo,0.5,SW,Harper,36.83129,-99.64101,559,Panhandle,STANDARD
17,BURB,Burbank,Burbank,7,SW,Osage,36.63459,-96.81046,301,Northeast,STANDARD
18,BURN,Burneyville,Burneyville,2,SE,Love,33.89376,-97.26918,228,South Central,STANDARD
19,BUTL,Butler,Butler,5,SW,Custer,35.5915,-99.27059,520,West Central,STANDARD
20,BYAR,Byars,Byars,3,ESE,Garvin,34.8497,-97.0033,345,South Central,STANDARD
21,CALV,Calvin,Calvin,5,WNW,Hughes,34.9924,-96.33422,234,East Central,STANDARD
22,CAMA,Camargo,Camargo,4,WNW,Dewey,36.02866,-99.34652,589,West Central,STANDARD
131,CARL,Lake Carl Blackwell,Orlando,5,E,Payne,36.1473,-97.28585,293,Central,STANDARD
112,CATO,Catoosa,Catoosa,4.7,NNW,Rogers,36.2619,-95.7572,232,Northeast,STANDARD
23,CENT,Centrahoma,Centrahoma,1,E,Coal,34.60896,-96.33309,208,South Central,STANDARD
24,CHAN,Chandler,Sparks,3,NNE,Lincoln,35.65282,-96.80407,291,Central,STANDARD
