YEAR,STID,MONTH,DAY,TAVG,DATE,DATE1,DATE2,DATE3
2018,COOK,1,1,11.5,2018-01-01,2018-1-1,1-1-2018,"January 1, 2018"
2018,COOK,1,2,16.86,2018-01-02,2018-1-2,1-2-2018,"January 2, 2018"
2018,COOK,1,3,21.19,2018-01-03,2018-1-3,1-3-2018,"January 3, 2018"
2018,COOK,1,4,24.56,2018-01-04,2018-1-4,1-4-2018,"January 4, 2018"
2018,COOK,1,5,34.11,2018-01-05,2018-1-5,1-5-2018,"January 5, 2018"
2018,COOK,1,6,36.92,2018-01-06,2018-1-6,1-6-2018,"January 6, 2018"
2018,COOK,1,7,38.61,2018-01-07,2018-1-7,1-7-2018,"January 7, 2018"
2018,COOK,1,8,39.27,2018-01-08,2018-1-8,1-8-2018,"January 8, 2018"
2018,COOK,1,9,38.3,2018-01-09,2018-1-9,1-9-2018,"January 9, 2018"
2018,COOK,1,10,50.7,2018-01-10,2018-1-10,1-10-2018,"January 10, 2018"
2018,COOK,1,11,40.9,2018-01-11,2018-1-11,1-11-2018,"January 11, 2018"
2018,COOK,1,12,21.33,2018-01-12,2018-1-12,1-12-2018,"January 12, 2018"
2018,COOK,1,13,24.83,2018-01-13,2018-1-13,1-13-2018,"January 13, 2018"
2018,COOK,1,14,31.53,2018-01-14,2018-1-14,1-14-2018,"January 14, 2018"
2018,COOK,1,15,26.12,2018-01-15,2018-1-15,1-15-2018,"January 15, 2018"
2018,COOK,1,16,9.4,2018-01-16,2018-1-16,1-16-2018,"January 16, 2018"
2018,COOK,1,17,13.49,2018-01-17,2018-1-17,1-17-2018,"January 17, 2018"
2018,COOK,1,18,30.32,2018-01-18,2018-1-18,1-18-2018,"January 18, 2018"
2018,COOK,1,19,41.69,2018-01-19,2018-1-19,1-19-2018,"January 19, 2018"
2018,COOK,1,20,54.24,2018-01-20,2018-1-20,1-20-2018,"January 20, 2018"
2018,COOK,1,21,61.75,2018-01-21,2018-1-21,1-21-2018,"January 21, 2018"
2018,COOK,1,22,44.12,2018-01-22,2018-1-22,1-22-2018,"January 22, 2018"
2018,COOK,1,23,36.16,2018-01-23,2018-1-23,1-23-2018,"January 23, 2018"
2018,COOK,1,24,38.1,2018-01-24,2018-1-24,1-24-2018,"January 24, 2018"
2018,COOK,1,25,49.83,2018-01-25,2018-1-25,1-25-2018,"January 25, 2018"
2018,COOK,1,26,50.49,2018-01-26,2018-1-26,1-26-2018,"January 26, 2018"
2018,COOK,1,27,50.13,2018-01-27,2018-1-27,1-27-2018,"January 27, 2018"
2018,COOK,1,28,41.75,2018-01-28,2018-1-28,1-28-2018,"January 28, 2018"
2018,COOK,1,29,30.65,2018-01-29,2018-1-29,1-29-2018,"January 29, 2018"
2018,COOK,1,30,35.72,2018-01-30,2018-1-30,1-30-2018,"January 30, 2018"
2018,COOK,1,31,51.19,2018-01-31,2018-1-31,1-31-2018,"January 31, 2018"
2018,COOK,2,1,42.07,2018-02-01,2018-2-1,2-1-2018,"February 1, 2018"
2018,COOK,2,2,33.32,2018-02-02,2018-2-2,2-2-2018,"February 2, 2018"
2018,COOK,2,3,38.61,2018-02-03,2018-2-3,2-3-2018,"February 3, 2018"
2018,COOK,2,4,32.22,2018-02-04,2018-2-4,2-4-2018,"February 4, 2018"
2018,COOK,2,5,28.43,2018-02-05,2018-2-5,2-5-2018,"February 5, 2018"
2018,COOK,2,6,29.98,2018-02-06,2018-2-6,2-6-2018,"February 6, 2018"
2018,COOK,2,7,29.9,2018-02-07,2018-2-7,2-7-2018,"February 7, 2018"
